ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
Moore FFR,606,1,851.2547963,ID,B03000,IDB03000,ID00606,{9C955265-DD54-4CA8-9EB0-27C50FEAA7CB},8179.918037,3444919.622,283,278990
Berrett FFR,609,1,5034.593752,ID,B03000,IDB03000,ID00609,{F8B62F69-D9C8-40CD-983D-507558F60F93},40154.37046,20374358.98,286,278993
R Collins FFR,612,1,435.8732582,ID,B03000,IDB03000,ID00612,{7D4C5F8E-D5BE-47AC-AF0E-682B4306E5D9},6672.94347,1763923.5,288,278995
Steiner FFR,613,1,7283.087789,ID,B03000,IDB03000,ID00613,{AB631408-52C9-4DAC-B5CC-971A04FA93E7},51226.1164,29473727.66,289,278996
Garrett FFR,626,1,3150.889426,ID,B03000,IDB03000,ID00626,{A19F417D-8F36-4172-8FAC-D5FB956FAB8F},40321.96396,12751247.76,297,279004
Rail Creek FFR,627,1,3018.740331,ID,B03000,IDB03000,ID00627,{7C3028F2-EE39-4991-8912-C2E06E6F66F0},23467.99978,12216457.22,298,279005
Castlehead/Lambert,634,1,46107.84138,ID,B03000,IDB03000,ID00634,{AB257C08-BA3B-4EE0-9A59-A90C4F1CB09E},90747.89157,186592555.1,303,279010
Swisher FFR,637,1,766.1970416,ID,B03000,IDB03000,ID00637,{6AE377C5-490B-4ECA-A936-83F7CE9BBB8A},8233.314987,3100701.734,305,279012
Alder Creek FFR,639,1,1764.11779,ID,B03000,IDB03000,ID00639,{2A11CCA2-8A9D-4FE5-A4D5-9D85013CAECA},11451.38774,7139159.762,306,279013
Bachelor Flat FFR,640,1,2191.800697,ID,B03000,IDB03000,ID00640,{82E974E9-0F82-4885-8BF2-66CF145F3FBE},19559.59537,8869937.959,307,279014
West Castle,648,1,10140.76347,ID,B03000,IDB03000,ID00648,{F7BB8282-2BFA-4DB5-808C-F10C12DCF283},37230.90075,41038376.77,309,279016
Soda Creek,652,1,8809.99333,ID,B03000,IDB03000,ID00652,{0702FF01-0255-4C75-9D75-8A12DB34BF4C},30971.74817,35652919.7,312,279019
Montini FFR,654,1,2363.345992,ID,B03000,IDB03000,ID00654,{CAA103DB-8D90-4D08-8A01-E29B593CFF14},25597.0679,9564159.892,313,279020
Walt's Pond FFR,659,1,3509.859294,ID,B03000,IDB03000,ID00659,{C5233E5C-62AC-4A1D-B9E9-C3A1BA272913},33448.10653,14203953.04,317,279024
Deadman,1006,1,58438.86561,ID,I01000,IDI01000,ID01006,{85713D5B-84CE-4D78-92DA-02B06A5283D9},99755.13499,236494637.9,385,279092
Buhl Group-Berger,4001,1,4194.272874,ID,T02000,IDT02000,ID04001,{90623D48-BBB1-401D-B05B-7902000550C9},22565.90208,16973686.01,490,279197
Kerr-Berger,4002,1,2290.490436,ID,T02000,IDT02000,ID04002,{99473B95-8162-461F-8D28-F50CBFB3DC32},14563.6002,9269330.589,491,279198
Ellis Tews-Berger,4003,1,11985.33837,ID,T02000,IDT02000,ID04003,{67487667-D99B-4F6C-8307-5C784F35B3FE},56402.55402,48503136.2,492,279199
Chadwick-Berger,4004,1,1370.125367,ID,T02000,IDT02000,ID04004,{06AA130A-D445-46AD-A0A1-A92C8A8A77EB},11293.89418,5544722.665,493,279200
Koch-Berger,4005,1,1271.889128,ID,T02000,IDT02000,ID04005,{9FFEFFA0-B2EC-43C7-BD92-E53E335F9DFB},9650.040749,5147173.13,494,279201
Kaster-Berger,4006,1,1478.421388,ID,T02000,IDT02000,ID04006,{FAC56052-127E-4DA8-B6E4-24C3F5F9E866},12798.83863,5982982.852,495,279202
Kunkel-Berger,4007,1,1517.912441,ID,T02000,IDT02000,ID04007,{9B8AF6B4-6A44-48ED-B4CE-99C4EC0CF500},10450.10864,6142798.108,496,279203
Lassen-Berger,4008,1,1281.956972,ID,T02000,IDT02000,ID04008,{E5AD4A08-D9B7-4281-80CA-8BDC05B464C0},9673.165623,5187916.412,497,279204
Lierman-Berger,4009,1,1368.998182,ID,T02000,IDT02000,ID04009,{9A2C4AB1-EC49-4BE4-92B0-62B523ACFD90},11240.86131,5540161.089,498,279205
